Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Limite_Dinamico;Num_Criterios;Criterio_Principal;Score_Confianca
2021-11-19 11:10:00;2021-Q4;216.27;217.56;216.27;217.56;31;0.6;3.36;3.17;5.5;Alta;0.4;2;Volume Alto;84
2023-06-20 11:05:00;2023-Q2;164.42;164.5;163.49;163.49;17;-0.57;-3.56;6.01;1.7;Baixa;0.4;2;Amplitude Alta;84
2022-12-02 10:30:00;2022-Q4;152.87;153.02;152.02;152.02;11;-0.56;-3.09;6.1;2.2;Baixa;0.4;2;Amplitude Alta;84
2022-05-16 10:55:00;2022-Q2;212.95;212.95;211.45;211.61;29;-0.63;-2.94;3.89;5.0;Baixa;0.41;2;Volume Alto;83
2021-01-15 10:05:00;2021-Q1;124.72;125.79;124.72;125.66;16;0.75;3.47;6.37;1.2;Alta;0.4;2;Amplitude Alta;83
2021-01-05 10:45:00;2021-Q1;120.06;120.06;119.29;119.51;14;-0.46;-2.92;6.1;2.3;Baixa;0.42;2;Amplitude Alta;83
2025-09-05 10:45:00;2025-Q3;440.51;442.88;440.51;442.73;19;0.5;2.77;3.76;5.4;Alta;0.45;2;Volume Alto;82
2021-03-26 11:20:00;2021-Q1;125.02;125.02;124.45;124.45;4;-0.46;-3.19;6.16;1.7;Baixa;0.4;2;Amplitude Alta;82
2022-12-16 12:35:00;2022-Q4;159.74;160.11;159.07;159.14;17;-0.38;-2.82;6.31;2.0;Neutro;0.44;2;Amplitude Alta;82
2022-09-14 12:40:00;2022-Q3;196.92;196.92;196.15;196.15;24;-0.39;-2.92;3.26;5.6;Neutro;0.42;2;Volume Alto;82
2021-07-20 11:50:00;2021-Q3;161.28;162.43;161.28;162.43;30;0.71;2.87;3.61;5.2;Alta;0.43;2;Volume Alto;81
2023-07-06 11:10:00;2023-Q3;148.98;149.36;148.08;148.08;7;-0.6;-3.19;6.37;1.3;Baixa;0.4;2;Amplitude Alta;81
2024-11-08 10:00:00;2024-Q4;271.45;272.97;271.45;272.36;9;0.34;2.72;6.6;1.6;Neutro;0.46;2;Amplitude Alta;81
2025-08-01 13:10:00;2025-Q3;329.65;329.65;327.82;327.82;33;-0.56;-2.74;3.82;5.1;Baixa;0.45;2;Volume Alto;81
2023-05-02 12:40:00;2023-Q2;174.58;175.36;174.58;175.36;41;0.45;2.86;3.21;5.6;Alta;0.43;2;Volume Alto;81
2025-11-06 10:35:00;2025-Q4;475.46;475.46;472.8;473.38;42;-0.44;-2.54;3.84;5.2;Neutro;0.49;2;Volume Alto;81
2023-04-11 13:20:00;2023-Q2;174.74;175.47;174.58;175.47;84;0.42;2.51;3.23;6.0;Neutro;0.5;2;Volume Alto;80
2021-03-19 14:00:00;2021-Q1;127.77;127.77;127.16;127.16;3;-0.48;-3.37;6.53;0.7;Baixa;0.4;2;Amplitude Alta;80
2021-02-17 13:05:00;2021-Q1;121.82;122.23;121.74;122.23;6;0.34;3.4;6.06;1.2;Neutro;0.4;2;Amplitude Alta;80
2024-04-26 10:50:00;2024-Q2;231.72;232.66;231.72;232.66;18;0.41;2.53;3.57;5.5;Neutro;0.49;2;Volume Alto;80
2023-11-17 10:25:00;2023-Q4;164.88;164.88;164.07;164.07;32;-0.49;-2.71;3.03;5.9;Baixa;0.46;2;Volume Alto;80
2022-01-25 14:55:00;2022-Q1;227.67;228.53;227.6;228.53;55;0.38;2.78;3.14;5.6;Neutro;0.44;2;Volume Alto;79
2021-05-13 14:55:00;2021-Q2;144.38;145.57;144.38;145.57;4;0.82;3.54;6.07;0.7;Alta;0.4;2;Amplitude Alta;78
2023-03-14 10:45:00;2023-Q1;166.67;166.71;165.85;165.85;24;-0.49;-2.58;3.39;5.2;Baixa;0.48;2;Volume Alto;77
2023-04-24 14:55:00;2023-Q2;177.69;177.69;176.52;176.95;10;-0.42;-2.55;6.02;1.6;Neutro;0.49;2;Amplitude Alta;75
2022-06-09 12:10:00;2022-Q2;223.23;224.0;223.23;224.0;19;0.34;2.77;2.53;5.1;Neutro;0.45;2;Volume Alto;72
