Time	Open	High	Low	Close	Volume
2021.10.14 13:00:00	199.24	200.64	199.24	199.64	16
2021.10.14 12:00:00	199.05	199.84	198.93	199.48	17
2021.10.14 11:00:00	200.88	201.36	198.25	199.32	78
2021.10.14 10:00:00	202.32	202.6	200.68	201.04	74
2021.10.14 09:00:00	201.32	202.64	200.72	202.32	110
2021.10.13 14:00:00	199.05	199.13	198.25	198.65	24
2021.10.13 13:00:00	199.44	199.6	198.57	199.21	22
2021.10.13 12:00:00	199.88	200.28	198.25	198.49	55
2021.10.13 11:00:00	198.09	199.84	196.17	199.44	87
2021.10.13 10:00:00	200.96	201.04	197.05	197.57	142
2021.10.13 09:00:00	201.08	201.84	198.65	201.4	239
2021.10.11 16:00:00	193.86	193.86	193.86	193.86	1
2021.10.11 15:00:00	193.82	193.86	193.62	193.62	2
2021.10.11 14:00:00	193.74	194.22	193.7	194.22	11
2021.10.11 13:00:00	194.26	194.58	193.74	194.14	36
2021.10.11 12:00:00	194.5	194.66	192.74	194.42	69
2021.10.11 11:00:00	192.46	194.66	192.46	194.46	102
2021.10.11 10:00:00	191.03	192.74	190.47	192.26	66
2021.10.11 09:00:00	189.51	191.55	189.27	191.03	74
2021.10.08 16:00:00	190.63	190.63	190.19	190.39	4
2021.10.08 15:00:00	190.87	190.87	190.15	190.23	3
2021.10.08 14:00:00	191.47	191.47	190.83	191.15	21
2021.10.08 13:00:00	192.3	192.74	190.63	191.63	38
2021.10.08 12:00:00	192.98	193.86	192.26	192.62	47
2021.10.08 11:00:00	191.71	193.02	191.35	192.66	45
2021.10.08 10:00:00	191.87	192.26	190.23	191.71	57
2021.10.08 09:00:00	189.43	192.26	189.23	191.87	127
2021.10.07 16:00:00	188.67	188.91	188.67	188.91	2
2021.10.07 15:00:00	189.47	189.47	188.28	188.4	6
2021.10.07 14:00:00	188.36	189.23	188.0	189.23	36
2021.10.07 13:00:00	188.99	189.63	188.08	188.36	45
2021.10.07 12:00:00	189.15	189.23	188.0	188.83	25
2021.10.07 11:00:00	188.51	189.39	187.96	188.51	55
2021.10.07 10:00:00	188.0	188.44	187.48	188.44	40
2021.10.07 09:00:00	187.48	189.07	187.08	187.6	126
2021.10.06 16:00:00	185.52	185.52	184.96	184.96	4
2021.10.06 15:00:00	184.96	186.08	184.96	186.08	8
2021.10.06 14:00:00	184.88	185.16	184.77	185.12	20
2021.10.06 13:00:00	184.49	185.24	184.33	184.53	8
2021.10.06 12:00:00	184.37	184.65	183.77	183.77	21
2021.10.06 11:00:00	184.05	184.45	183.69	184.29	26
2021.10.06 10:00:00	185.56	186.56	183.05	183.49	60
2021.10.06 09:00:00	185.08	185.6	183.53	185.4	82
2021.10.05 16:00:00	185.68	185.76	185.08	185.08	5
2021.10.05 15:00:00	185.24	185.76	185.24	185.76	3
2021.10.05 14:00:00	183.49	184.96	183.49	184.69	28
2021.10.05 13:00:00	183.65	183.89	182.69	183.49	55
2021.10.05 12:00:00	185.4	185.4	182.77	183.81	90
2021.10.05 11:00:00	186.68	186.68	184.96	185.16	53
2021.10.05 10:00:00	185.64	186.8	184.49	186.76	94
2021.10.05 09:00:00	190.39	190.39	185.08	185.88	210
2021.10.04 16:00:00	192.54	192.58	192.26	192.26	3
2021.10.04 14:00:00	192.62	193.3	192.26	192.3	19
2021.10.04 13:00:00	193.06	193.06	190.67	192.26	59
2021.10.04 12:00:00	195.22	195.22	192.26	193.54	53
2021.10.04 11:00:00	193.94	197.69	193.94	195.77	151
2021.10.04 10:00:00	192.26	194.02	191.71	193.86	77
2021.10.04 09:00:00	191.71	192.46	189.75	192.46	140
2021.10.01 16:00:00	193.34	193.54	192.98	193.54	5
2021.10.01 15:00:00	192.74	193.06	192.62	193.06	9
2021.10.01 14:00:00	193.46	193.86	191.99	192.54	83
2021.10.01 13:00:00	193.82	194.82	193.42	193.82	117
2021.10.01 12:00:00	192.03	196.01	191.67	193.7	177
2021.10.01 11:00:00	188.32	193.78	187.4	192.06	242
2021.10.01 10:00:00	187.32	188.59	186.88	188.59	79
2021.10.01 09:00:00	184.69	188.08	184.69	187.12	95
2021.09.30 16:00:00	185.08	185.08	185.08	185.08	1
2021.09.30 15:00:00	185.08	185.24	185.08	185.24	2
2021.09.30 14:00:00	185.68	185.96	185.12	185.4	20
2021.09.30 13:00:00	186.04	186.4	185.08	185.88	34
2021.09.30 12:00:00	186.68	187.12	186.0	186.0	30
2021.09.30 11:00:00	186.64	187.08	185.56	186.4	24
2021.09.30 10:00:00	186.68	187.28	185.56	186.56	27
2021.09.30 09:00:00	185.24	187.32	185.24	187.16	64
2021.09.29 16:00:00	185.32	186.2	185.32	186.2	6
2021.09.29 15:00:00	185.04	185.04	185.04	185.04	1
2021.09.29 14:00:00	185.48	185.76	184.69	184.69	29
2021.09.29 13:00:00	185.2	185.64	184.69	185.2	19
2021.09.29 12:00:00	186.4	186.96	185.2	185.2	26
2021.09.29 11:00:00	186.32	186.52	184.29	186.0	109
2021.09.29 10:00:00	188.75	189.31	186.68	186.68	54
2021.09.29 09:00:00	188.67	189.23	187.36	188.79	145
2021.09.28 16:00:00	189.07	189.35	188.75	188.87	9
2021.09.28 15:00:00	189.07	189.07	188.79	189.07	13
2021.09.28 14:00:00	189.43	189.59	188.71	189.03	44
2021.09.28 13:00:00	190.27	190.51	189.55	189.55	64
2021.09.28 12:00:00	187.88	190.31	187.88	190.27	108
2021.09.28 11:00:00	187.92	189.07	187.08	187.64	102
2021.09.28 10:00:00	185.88	188.51	185.64	187.88	124
2021.09.28 09:00:00	186.0	186.16	185.08	185.96	73
2021.09.27 16:00:00	186.08	186.08	186.08	186.08	2
2021.09.27 15:00:00	186.44	186.48	186.08	186.08	6
2021.09.27 14:00:00	186.24	186.68	185.92	186.56	29
2021.09.27 13:00:00	185.88	186.68	185.16	185.88	38
2021.09.27 12:00:00	185.24	186.68	184.92	185.88	40
2021.09.27 11:00:00	185.32	185.32	184.33	184.37	5
2021.09.27 10:00:00	184.96	185.4	184.29	185.08	30
2021.09.27 09:00:00	185.84	185.88	183.09	185.56	134
2021.09.24 16:00:00	186.16	186.16	185.76	185.8	5
2021.09.24 15:00:00	186.16	186.16	185.44	186.12	9
2021.09.24 14:00:00	185.68	186.28	185.4	185.84	34
2021.09.24 13:00:00	184.29	186.44	184.29	185.44	133
2021.09.24 12:00:00	183.49	184.29	182.69	184.29	70
2021.09.24 11:00:00	183.69	183.85	182.85	183.85	37
2021.09.24 10:00:00	183.49	184.53	183.21	183.97	51
2021.09.24 09:00:00	184.92	185.32	183.49	183.49	82
2021.09.23 16:00:00	182.25	182.25	182.09	182.09	3
2021.09.23 14:00:00	182.65	182.69	182.25	182.29	25
2021.09.23 13:00:00	183.13	183.13	182.01	182.65	46
2021.09.23 12:00:00	180.3	182.61	179.94	182.61	71
2021.09.23 11:00:00	180.3	180.7	179.94	180.3	36
2021.09.23 10:00:00	179.98	181.02	179.94	181.02	42
2021.09.23 09:00:00	179.42	180.3	178.9	179.7	63
2021.09.22 16:00:00	178.3	178.3	178.3	178.3	1
2021.09.22 15:00:00	178.26	178.34	178.1	178.1	3
2021.09.22 14:00:00	177.74	177.9	177.35	177.9	11
2021.09.22 13:00:00	178.14	178.38	177.59	177.67	22
2021.09.22 12:00:00	178.26	178.62	178.02	178.62	9
2021.09.22 11:00:00	177.9	178.94	177.67	178.14	26
2021.09.22 10:00:00	178.7	178.94	177.9	177.9	27
2021.09.22 09:00:00	178.34	180.3	178.34	178.74	161
2021.09.21 16:00:00	176.51	176.55	176.51	176.55	3
2021.09.21 15:00:00	176.11	176.15	176.11	176.15	3
2021.09.21 14:00:00	176.71	176.71	175.79	175.91	17
2021.09.21 13:00:00	176.43	176.99	176.31	176.91	6
2021.09.21 12:00:00	177.15	177.27	175.95	176.91	42
2021.09.21 11:00:00	177.03	177.11	175.91	177.11	27
2021.09.21 10:00:00	177.11	177.51	176.71	176.79	14
2021.09.21 09:00:00	174.99	177.9	174.99	177.51	69
2021.09.20 16:00:00	174.47	174.71	174.47	174.55	5
2021.09.20 15:00:00	175.15	175.15	174.43	174.63	4
2021.09.20 14:00:00	175.51	175.83	174.95	175.35	30
2021.09.20 13:00:00	176.07	176.43	175.59	175.59	11
2021.09.20 12:00:00	177.03	177.03	176.31	176.31	24
2021.09.20 11:00:00	177.78	177.98	176.91	176.99	12
2021.09.20 10:00:00	175.51	177.86	175.27	177.27	54
2021.09.20 09:00:00	175.51	176.27	172.52	175.51	81
2021.09.17 16:00:00	179.06	179.06	177.7	178.14	13
2021.09.17 15:00:00	178.5	178.7	178.26	178.26	4
2021.09.17 14:00:00	178.34	178.94	178.06	178.26	27
2021.09.17 13:00:00	179.1	179.3	178.06	178.06	7
2021.09.17 12:00:00	178.66	179.06	178.22	179.06	25
2021.09.17 11:00:00	178.3	178.66	177.51	178.54	32
2021.09.17 10:00:00	180.38	180.38	178.3	178.34	55
2021.09.17 09:00:00	180.9	182.21	179.98	180.3	80
2021.09.16 15:00:00	179.5	179.5	179.5	179.5	1
2021.09.16 14:00:00	179.26	180.54	179.14	179.18	58
2021.09.16 13:00:00	179.02	179.9	179.02	179.26	16
2021.09.16 12:00:00	179.54	179.54	179.02	179.02	11
2021.09.16 11:00:00	177.35	179.74	177.27	179.58	44
2021.09.16 10:00:00	178.62	178.62	177.19	177.27	40
2021.09.16 09:00:00	179.5	179.5	177.9	178.62	34
2021.09.15 16:00:00	180.54	180.54	179.5	179.5	5
2021.09.15 14:00:00	180.14	180.62	179.42	180.62	18
2021.09.15 13:00:00	180.66	180.7	179.74	179.82	18
2021.09.15 12:00:00	180.58	180.66	180.14	180.66	15
2021.09.15 11:00:00	180.14	180.5	179.9	180.26	39
2021.09.15 10:00:00	178.86	180.22	178.86	180.14	36
2021.09.15 09:00:00	180.26	180.46	178.9	179.02	52
2021.09.14 16:00:00	177.9	177.9	177.9	177.9	1
2021.09.14 15:00:00	177.51	177.51	177.51	177.51	1
2021.09.14 14:00:00	177.9	178.42	177.39	177.98	21
2021.09.14 13:00:00	177.9	178.3	177.9	178.1	5
2021.09.14 12:00:00	178.26	178.3	178.06	178.3	8
2021.09.14 11:00:00	177.59	178.22	177.43	178.22	21
2021.09.14 10:00:00	178.14	178.14	177.74	177.9	7
2021.09.14 09:00:00	177.9	179.1	176.71	178.7	55
2021.09.13 16:00:00	178.58	178.7	178.46	178.46	2
2021.09.13 15:00:00	179.3	179.82	178.42	178.42	4
2021.09.13 14:00:00	179.1	179.1	178.7	178.7	9
2021.09.13 13:00:00	178.9	179.1	178.82	179.1	6
2021.09.13 12:00:00	179.74	179.98	179.22	179.22	6
2021.09.13 11:00:00	178.7	179.98	178.7	179.94	27
2021.09.13 10:00:00	178.7	179.06	178.54	179.06	10
2021.09.13 09:00:00	178.7	179.34	177.39	179.34	46
2021.09.10 16:00:00	179.9	179.9	179.9	179.9	1
2021.09.10 14:00:00	180.7	180.7	179.66	179.66	15
2021.09.10 13:00:00	180.5	180.5	180.5	180.5	1
2021.09.10 12:00:00	180.7	180.7	179.98	180.5	8
2021.09.10 11:00:00	180.02	180.22	179.94	180.22	6
2021.09.10 10:00:00	179.82	180.3	179.5	179.5	27
2021.09.10 09:00:00	180.62	181.37	179.78	179.82	56
2021.09.09 16:00:00	180.34	181.06	180.34	180.58	3
2021.09.09 15:00:00	180.7	180.7	180.3	180.3	2
2021.09.09 14:00:00	180.46	180.94	180.14	180.94	9
2021.09.09 13:00:00	181.14	181.14	180.7	180.7	11
2021.09.09 12:00:00	180.18	181.49	180.18	181.33	13
2021.09.09 11:00:00	181.1	181.1	180.3	180.38	16
2021.09.09 10:00:00	180.02	181.89	179.9	180.54	45
2021.09.09 09:00:00	179.9	179.9	178.22	179.9	112
2021.09.08 16:00:00	181.89	182.53	181.89	182.53	4
2021.09.08 15:00:00	183.09	183.09	182.69	182.69	4
2021.09.08 14:00:00	182.53	182.89	181.89	182.29	32
2021.09.08 13:00:00	185.48	185.72	181.93	181.93	91
2021.09.08 12:00:00	186.68	186.68	185.36	185.36	22
2021.09.08 11:00:00	187.88	188.59	186.8	186.84	45
2021.09.08 10:00:00	187.96	188.2	187.52	187.72	21
2021.09.08 09:00:00	189.07	189.87	187.88	188.67	45
2021.09.06 16:00:00	187.16	187.16	187.16	187.16	1
2021.09.06 15:00:00	187.08	187.36	187.08	187.36	4
2021.09.06 14:00:00	186.68	187.24	186.68	187.08	15
2021.09.06 13:00:00	186.68	186.68	186.68	186.68	3
2021.09.06 11:00:00	186.6	186.68	186.6	186.68	4
2021.09.06 10:00:00	185.92	185.92	185.92	185.92	1
2021.09.06 09:00:00	186.68	186.68	186.68	186.68	20
2021.09.03 16:00:00	187.0	187.0	186.68	186.68	3
2021.09.03 15:00:00	187.08	187.48	187.08	187.08	3
2021.09.03 14:00:00	186.28	187.32	186.28	187.24	15
2021.09.03 13:00:00	186.88	186.88	186.2	186.2	5
2021.09.03 12:00:00	185.84	186.88	185.84	186.6	19
2021.09.03 11:00:00	185.64	186.56	185.32	185.56	23
2021.09.03 10:00:00	185.92	185.92	184.69	185.08	23
2021.09.03 09:00:00	186.6	186.6	183.77	185.88	59
2021.09.02 16:00:00	187.48	187.48	187.48	187.48	2
2021.09.02 15:00:00	187.48	187.84	187.48	187.48	3
2021.09.02 14:00:00	187.04	187.04	186.68	186.68	10
2021.09.02 13:00:00	187.48	187.48	186.68	187.16	16
2021.09.02 12:00:00	187.88	188.28	186.68	187.08	40
2021.09.02 11:00:00	188.36	188.67	187.52	188.67	24
2021.09.02 10:00:00	190.07	190.07	187.88	188.36	50
2021.09.02 09:00:00	189.87	191.47	189.87	190.59	71
2021.09.01 16:00:00	189.07	189.07	189.07	189.07	2
2021.09.01 15:00:00	188.79	189.91	188.79	188.95	4
2021.09.01 14:00:00	188.67	189.55	188.36	189.15	17
2021.09.01 13:00:00	189.07	189.71	188.67	188.67	23
2021.09.01 12:00:00	191.07	191.31	188.91	189.87	34
2021.09.01 11:00:00	189.55	191.03	189.55	190.99	43
2021.09.01 10:00:00	190.43	190.67	187.52	190.35	78
