Time;Ano_Trimestre;Open;High;Low;Close;Volume;Retorno_Pct;Z_Score;Amplitude_Relativa;Volume_Relativo;Tipo_Movimento;Score_Confianca
2023-03-16 11:10:00;2023-Q1;169.81;170.78;169.73;170.78;58;0.57;3.68;4.71;7.2;Neutro;100
2023-03-14 10:50:00;2023-Q1;165.89;166.67;165.66;166.67;35;0.47;2.36;4.1;9.7;Neutro;100
2024-08-30 13:10:00;2024-Q3;257.15;257.28;254.64;255.24;49;-0.74;-4.68;9.23;6.3;Neutro;100
2021-02-26 10:45:00;2021-Q1;132.32;132.94;132.32;132.9;18;0.44;4.17;6.15;5.7;Neutro;100
2021-02-22 14:30:00;2021-Q1;128.8;129.62;128.55;129.53;29;0.57;3.67;8.58;7.3;Neutro;100
2023-11-22 12:10:00;2023-Q4;164.64;166.41;164.64;166.41;23;1.08;5.83;9.37;3.7;Alta;100
2022-03-30 12:25:00;2022-Q1;209.38;210.42;209.38;210.23;52;0.41;3.26;5.6;8.5;Neutro;100
2021-07-23 10:45:00;2021-Q3;189.91;189.91;185.73;187.0;47;-1.53;-4.18;7.46;4.1;Baixa;100
2024-09-10 12:25:00;2024-Q3;257.89;257.89;256.46;256.46;45;-0.55;-3.95;4.91;8.7;Neutro;100
2022-07-01 11:00:00;2022-Q3;216.21;216.21;214.02;214.02;37;-1.01;-5.83;8.72;4.9;Baixa;100
2023-03-29 10:00:00;2023-Q1;162.71;162.71;160.65;161.51;20;-0.74;-3.99;8.18;2.7;Neutro;100
2022-03-31 10:40:00;2022-Q1;214.79;216.13;214.79;216.13;35;0.62;4.31;5.69;5.3;Neutro;100
2022-01-28 12:00:00;2022-Q1;226.23;226.23;224.87;224.87;17;-0.6;-4.42;5.97;5.1;Neutro;100
2023-08-10 09:40:00;2023-Q3;152.08;152.08;151.07;151.07;13;-0.66;-4.6;6.75;3.4;Neutro;100
2023-08-07 09:35:00;2023-Q3;151.3;151.93;151.23;151.93;19;0.42;3.9;6.81;3.5;Neutro;100
2021-02-18 10:50:00;2021-Q1;123.46;123.79;123.3;123.79;11;0.27;2.79;7.82;3.5;Neutro;100
2021-02-22 14:20:00;2021-Q1;127.16;128.51;127.16;128.47;55;1.03;5.41;9.5;7.1;Alta;100
2025-03-07 13:00:00;2025-Q1;414.26;417.12;414.13;417.12;12;0.69;4.27;6.88;3.9;Neutro;100
2025-01-13 09:50:00;2025-Q1;358.87;361.06;358.83;361.06;42;0.61;3.99;5.38;4.7;Neutro;100
2024-06-12 13:00:00;2024-Q2;232.15;235.72;232.15;235.59;29;1.48;5.37;7.46;2.6;Alta;100
2023-03-10 10:35:00;2023-Q1;166.32;169.19;166.32;167.79;23;0.88;4.3;11.29;4.3;Alta;100
2023-03-10 12:00:00;2023-Q1;168.84;170.08;168.84;170.08;16;0.73;4.27;5.74;4.4;Neutro;100
2023-03-08 11:20:00;2023-Q1;169.66;169.66;168.37;168.37;29;-0.76;-4.6;6.28;3.6;Neutro;100
2025-07-18 12:20:00;2025-Q3;341.05;341.05;337.89;338.35;47;-0.79;-3.66;5.43;8.4;Neutro;100
2021-06-21 11:40:00;2021-Q2;149.71;150.86;149.71;150.66;19;0.63;3.92;7.29;3.0;Neutro;100
